item,itemLabel,startDate,endDate,psid
Q20607067,Teshome Toga,2005-10-10,2010-10-03,Q20607067-CB90C226-92EE-48D3-B357-DD5054013BBC
Q2820137,Abadula Gemeda,2010-09-10,2018-04-19,Q2820137-679CC204-14D8-45FD-A252-E6E734466F14
Q55238035,Muferihat Kamil Ahmed,2018-04-19,2018-10-16,Q55238035-E04E8AB9-0155-4D06-90D5-5917DF4D4840
Q55639559,Dawit Yohannes,1995-01-01,2005-10-09,Q55639559-12A14AF7-1DCF-480D-9CEC-814547563C99
Q62023811,Tagesse Chafo,2018-10-18,,Q62023811-10F8B497-15F8-4510-A70C-8B17BD456B25
