@@,wdid,name,position
->,Q66309846,Ahmed Shide,Minister of Finance and Economic Development->Minister of Finance
->,Q62123939,Dagmawit Moges,Minister of Transport and Communications->Minister of Transport and Logistics
->,Q60852478,Aisha Mohammed Mussa,Minister of Irrigation and Lowlands->Minister of Irrigation and Lowland Areas Development
->,Q57898816,Lia Tadesse,minister of Health of Ethiopia->Minister of Health
->,Q56485727,Takele Uma Benti->Takele Uma Banti,Minister of Mines->Minister of Mines and Petroleum
->,Q55238035,Muferihat Kamil Ahmed->Muferiat Kamil,Minister of Labour and Skills Development
->,Q50365049,Abiy Ahmed Ali->Abiy Ahmed,Prime Minister of Ethiopia
->,Q4891781,Berhanu Nega,Minister of Education of Ethiopia->Minister of Education
->,Q109994204,Binalf Andualem,Minister of Peace (Ethiopia)->Minister of Peace
->,Q109994068,Kejela Merdasa->Kejella Merdassa,Minister of Culture and Sport
->,Q109993837,Gebremeskel Chala,Minister of Trade of Ethiopia->Minister of Trade and Regional Integration
->,Q109993726,Lake Ayalew->La'qe Ayalew,Minister of Revenues
->,Q109993240,Omer Husen,Minister of Agriculture of Ethiopia->Minister of Agriculture
->,Q109536191,Abraham Belay,Minister of Defence of Ethiopia->Minister of Defense
->,Q109339517,Gedion Timotheos,Minister of Justice of Ethiopia->Minister of Justice
---,Q7399685,Sahle-Work Zewde,President of Ethiopia
---,Q16728486,Demeke Mekonnen,Minister of Foreign Affairs of Ethiopia
+++,Q16728486,Demeke Mekonnen,Minister of Foreign Affairs
